drug,dose_nM,gene_set,pearson_improved_hill,pearson_original_loglinear,r2_improved_hill,r2_original_loglinear,pearson_improvement,r2_improvement,pearson_hybrid,r2_hybrid,pearson_gain_vs_loglinear,r2_gain_vs_loglinear
(+)-JQ1,10000.0,top100_DE,0.8643361977052025,0.8643361977052025,0.7376752172400707,0.7376752172400707,0.0,0.0,0.8643362040273589,0.7376752194390271,6.322156353988362e-09,2.198956461363366e-09
(+)-JQ1,10000.0,top500_HVG,0.9488360634240308,0.9488360634240308,0.900279684552573,0.900279684552573,0.0,0.0,0.9488360643060924,0.9002796835822853,8.820615349236505e-10,-9.702877390438402e-10
Trametinib (GSK1120212),10.0,all_retained_genes,0.920772859134541,0.9248889338749212,0.8468747128800689,0.8521281610283824,-0.0041160747403803,-0.0052534481483135,0.9229453585260252,0.850947353531377,-0.0019435753488959984,-0.0011808074970054427
Trametinib (GSK1120212),10.0,top100_DE,0.760984043034733,0.7635815166603589,0.5613837890182061,0.5441466824335572,-0.0025974736256259,0.0172371065846488,0.762541118685099,0.5565773209289335,-0.001040397975259899,0.01243063849537629
Trametinib (GSK1120212),10.0,top500_HVG,0.9268737790672792,0.9329062295137605,0.8581753213642296,0.8683699219203366,-0.006032450446481,-0.0101946005561069,0.9296432933085527,0.8632726867639144,-0.0032629362052077893,-0.005097235156422131
Trametinib (GSK1120212),100.0,all_retained_genes,0.9168183434716052,0.92001365370861,0.839897152602406,0.8437974902099253,-0.003195310237005,-0.0039003376075192,0.9181059512708996,0.8420349695351061,-0.0019077024377104346,-0.0017625206748191902
Trametinib (GSK1120212),100.0,top100_DE,0.8108116991100938,0.8121402447476688,0.6543684446063351,0.6415740148481792,-0.001328545637575,0.0127944297581559,0.8096133167157705,0.6472777222378518,-0.0025269280318982457,0.00570370738967263
Trametinib (GSK1120212),100.0,top500_HVG,0.9204600096235592,0.925033810752744,0.8467069201672208,0.8538809438676104,-0.0045738011291845,-0.0071740237003895,0.9223351394122952,0.849866965965884,-0.002698671340448877,-0.004013977901726418
Trametinib (GSK1120212),1000.0,all_retained_genes,0.9079979201756508,0.9103885103066144,0.8230960845308931,0.8271930954630712,-0.0023905901309634,-0.004097010932178,0.9087438182712199,0.8246126300246708,-0.0016446920353945238,-0.0025804654384004033
Trametinib (GSK1120212),1000.0,top100_DE,0.6951294305548575,0.6969793797060583,0.4432819895667945,0.4320257561188363,-0.0018499491512007,0.0112562334479582,0.6959412342588769,0.4363685184148617,-0.0010381454471813933,0.004342762296025371
Trametinib (GSK1120212),1000.0,top500_HVG,0.9134409818943467,0.91607874821023,0.8331709168057335,0.8367809292474664,-0.0026377663158831,-0.0036100124417328,0.9145489390575672,0.834719697841127,-0.0015298091526628754,-0.0020612314063394033
Trametinib (GSK1120212),10000.0,all_retained_genes,0.9013596301294752,0.9013596301294752,0.8111570200988387,0.8111570200988387,0.0,0.0,0.9013596307648505,0.8111570300675331,6.353753079224589e-10,9.968694425488422e-09
Trametinib (GSK1120212),10000.0,top100_DE,0.7038418250532795,0.7038418250532795,0.4659209440707997,0.4659209440707997,0.0,0.0,0.7038418288677801,0.4659209676986874,3.8145006042711316e-09,2.3627887701938022e-08
Trametinib (GSK1120212),10000.0,top500_HVG,0.9088977283406328,0.9088977283406328,0.8249124777628509,0.8249124777628509,0.0,0.0,0.9088977288806512,0.8249124810443517,5.400184743820091e-10,3.2815007378061978e-09
