drug,dose_nM,gene_set,pearson_improved_hill,pearson_original_loglinear,r2_improved_hill,r2_original_loglinear,pearson_improvement,r2_improvement,pearson_residual,r2_residual,r2_gain_vs_loglinear,pearson_gain_vs_loglinear
(+)-JQ1,10000.0,top100_DE,0.8643361977052025,0.8643361977052025,0.7376752172400707,0.7376752172400707,0.0,0.0,0.8649891563648102,0.7361393001675485,-0.0015359170725222082,0.0006529586596076831
(+)-JQ1,10000.0,top500_HVG,0.9488360634240308,0.9488360634240308,0.900279684552573,0.900279684552573,0.0,0.0,0.9456102298652678,0.8932506766655612,-0.007029007887011773,-0.003225833558763047
Trametinib (GSK1120212),10.0,all_retained_genes,0.920772859134541,0.9248889338749212,0.8468747128800689,0.8521281610283824,-0.0041160747403803,-0.0052534481483135,0.9244911084552989,0.8501757680371907,-0.0019523929911916538,-0.00039782541962229967
Trametinib (GSK1120212),10.0,top100_DE,0.760984043034733,0.7635815166603589,0.5613837890182061,0.5441466824335572,-0.0025974736256259,0.0172371065846488,0.7676905854266942,0.5470126119123873,0.0028659294788300205,0.004109068766335322
Trametinib (GSK1120212),10.0,top500_HVG,0.9268737790672792,0.9329062295137605,0.8581753213642296,0.8683699219203366,-0.006032450446481,-0.0101946005561069,0.9317435448732402,0.8649652121505503,-0.0034047097697862405,-0.0011626846405202729
Trametinib (GSK1120212),100.0,all_retained_genes,0.9168183434716052,0.92001365370861,0.839897152602406,0.8437974902099253,-0.003195310237005,-0.0039003376075192,0.9210980075231937,0.8438255769226938,2.8086712768438105e-05,0.0010843538145837162
Trametinib (GSK1120212),100.0,top100_DE,0.8108116991100938,0.8121402447476688,0.6543684446063351,0.6415740148481792,-0.001328545637575,0.0127944297581559,0.8153609534339469,0.6423099465817719,0.0007359317335926541,0.0032207086862781065
Trametinib (GSK1120212),100.0,top500_HVG,0.9204600096235592,0.925033810752744,0.8467069201672208,0.8538809438676104,-0.0045738011291845,-0.0071740237003895,0.9249427077951118,0.8524712770315144,-0.0014096668360960019,-9.110295763226084e-05
Trametinib (GSK1120212),1000.0,all_retained_genes,0.9079979201756508,0.9103885103066144,0.8230960845308931,0.8271930954630712,-0.0023905901309634,-0.004097010932178,0.912885394460299,0.8305413616599686,0.0033482661968974314,0.002496884153684653
Trametinib (GSK1120212),1000.0,top100_DE,0.6951294305548575,0.6969793797060583,0.4432819895667945,0.4320257561188363,-0.0018499491512007,0.0112562334479582,0.709250254502792,0.4387850610688482,0.0067593049500118685,0.012270874796733722
Trametinib (GSK1120212),1000.0,top500_HVG,0.9134409818943467,0.91607874821023,0.8331709168057335,0.8367809292474664,-0.0026377663158831,-0.0036100124417328,0.9166480966710552,0.8363419481782346,-0.0004389810692317919,0.0005693484608251254
Trametinib (GSK1120212),10000.0,all_retained_genes,0.9013596301294752,0.9013596301294752,0.8111570200988387,0.8111570200988387,0.0,0.0,0.9014487738953566,0.8110273367711384,-0.0001296833277003584,8.914376588142758e-05
Trametinib (GSK1120212),10000.0,top100_DE,0.7038418250532795,0.7038418250532795,0.4659209440707997,0.4659209440707997,0.0,0.0,0.7062855603857426,0.46002556391177607,-0.005895380159023633,0.002443735332463115
Trametinib (GSK1120212),10000.0,top500_HVG,0.9088977283406328,0.9088977283406328,0.8249124777628509,0.8249124777628509,0.0,0.0,0.908792796022637,0.8241534431118311,-0.0007590346510197854,-0.00010493231799579839
