gene,highly_variable,means,dispersions,dispersions_norm,hvg_rank
ZFAND1,True,0.22119350154979633,2.522986903874575,1.2713814,1408
INTS9,True,0.4891232437449539,2.5361497857289153,1.3418661,1279
CPQ,True,0.5042569779868095,2.6836001632362323,2.19692,381
CALB1,True,0.09784174646651345,2.834637316896163,2.6166873,214
NDRG1,True,0.22964379353420583,2.6966097571869048,2.0208616,496
NCALD,True,0.4667053203770181,2.6679590056949585,2.1062179,430
TNFRSF10A,True,0.31929242145831593,2.5020007638998734,1.1807902,1591
KCTD9,True,0.23804754187287985,2.4873963904031937,1.1177473,1741
FGL1,True,0.043198676221066476,2.4947562791942444,1.1495178,1671
ASAH1,True,0.44912945879966865,2.639794434337726,1.9428936,560
BNIP3L,True,0.6034065303155458,2.634251925657663,1.9107531,585
KCNN4,True,0.08752960350430342,2.596734523251386,1.5897288,891
RELB,True,0.12384228826870125,2.575621133522705,1.4985883,1031
PIH1D1,True,0.2520078662264099,2.583802582552099,1.5339053,984
ERCC2,True,0.2299411734662439,2.5440259555617546,1.362201,1239
LYL1,True,0.16060355710594731,2.5652983764992796,1.4540279,1098
DMPK,True,0.25535303889428523,2.5086522075899715,1.2095026,1520
TLE6,True,0.03334008864898722,2.520581484041096,1.2609979,1425
NUMBL,True,0.3217309346641086,2.514355796657623,1.2341233,1479
BBC3,True,0.06954692809219848,2.6131256623236196,1.6604847,831
TGFB1,True,0.941568937474244,2.7857997967618147,1.977413,529
DMAC2,True,0.1916231010732647,2.604476241569273,1.6231476,863
ICAM4,True,0.196456770264642,2.7032673684085378,2.0496006,472
GRIN2D,True,0.42546149691251095,2.515090121564303,1.2197427,1502
FAM83E,True,0.06574611468406852,2.5641232251819095,1.4489552,1103
RASIP1,True,0.05854083978733648,2.4709669117149717,1.0468259,1899
PLEKHA4,True,0.19737486465841492,2.5252106466765407,1.2809806,1393
KLF1,True,0.19404949796199397,2.815039761534383,2.5320902,243
MAST1,True,0.11923725467199744,2.4688499480197246,1.0376875,1917
KCNN1,True,0.07295601889046391,2.4747483856682124,1.0631495,1866
ISYNA1,True,0.2747197259475957,2.5354479402929244,1.3251721,1310
NAMPT,True,0.5132069366961451,2.5433113263542424,1.3833953,1203
TWISTNB,True,0.14624785324525508,2.4953237205438263,1.1519673,1665
PIK3CG,True,0.1341116471824834,2.4822797758476045,1.0956603,1799
STEAP1B,True,0.3690641623438141,2.6704978860087976,2.1209407,421
DFNA5,True,0.08480483912159564,2.731897962726535,2.1731908,391
CPED1,True,1.7923765226558326,3.258898556302229,1.686472,803
CHN2,True,0.045742384836242884,2.631083087891721,1.7380017,734
GRB10,True,0.5078827356432849,2.649626893553312,1.9999114,510
NOD1,True,0.25990553010779704,2.528158392883298,1.2937052,1367
EPHB6,True,0.14939059350247147,3.000042377491299,3.3306937,101
CYP3A5,True,0.08607357753769457,2.514879500040504,1.236384,1473
TFR2,True,0.6626048526189209,2.749335594783335,2.5781147,227
SERPINE1,True,0.18444165744933336,3.008886782617341,3.3688726,95
ANKMY2,True,0.336901642425753,2.5145793621605863,1.2350883,1478
ACTR3C,True,0.4569048919210466,2.5115023275140635,1.1989373,1543
POU6F2,True,0.318942192747957,2.555366675535901,1.4111556,1168
CLIP2,True,0.5646530883971006,2.6292888232466285,1.8819724,600
CNTNAP3,True,0.1706711527376372,2.5286048548505757,1.2956325,1362
MEGF9,True,0.6980547513918559,2.48384613437691,1.0385611,1914
CORO2A,True,0.3939046911930861,2.5133869641970277,1.2098662,1519
C5,True,0.27198385575318523,2.4860672140641245,1.1120095,1760
PTGR1,True,0.9351676264260804,3.1907042505389263,3.866723,57
SUSD1,True,0.8436366885366308,2.612094171208374,1.1668916,1626
ENG,True,0.030348521533431677,2.5683333930344063,1.4671292,1079
DOCK8,True,0.8604026739430465,2.6375353729242863,1.2856019,1378
GLIS3,True,0.5082735730022413,2.666693056635099,2.0988767,437
SHB,True,0.07421386401836451,2.5549124043527494,1.4091946,1171
ATRNL1,True,0.6361927003082466,2.6506205610692524,2.0056736,504
CUBN,True,0.02704979695425879,2.6137875918506075,1.663342,829
UNC5B,True,0.17009350292321665,2.577196251462689,1.5053877,1024
VSIR,True,0.08374904187810231,2.741368761953632,2.2140737,374
NPM3,True,0.09355010084854484,2.581726646964025,1.5249441,993
SH3PXD2A,True,0.2149270907903347,2.5016515267168398,1.1792827,1595
STN1,True,0.17483710280049022,2.473849205018975,1.0592679,1875
MAP3K8,True,0.27512832494032674,2.5603756122968595,1.4327778,1132
SORCS1,True,0.8424119714392044,3.0170678232697306,3.0565243,124
UBTF,True,0.8761083997198992,3.027308385529415,3.1043074,118
P2RX1,True,0.5198068037107394,2.999823149402681,4.0306735,50
BLMH,True,0.2864985802568073,2.578119106492272,1.5093714,1016
ALDH3A1,True,0.8920285426850247,3.283129480541617,4.297985,36
ICAM2,True,0.04437264718800578,2.5403473082013357,1.3463212,1269
CYTH1,True,0.5785778964530564,2.511045086046171,1.1962858,1553
MRPL27,True,0.24568120280288075,2.5118110371735,1.2231383,1494
ABCC3,True,1.0338524336780512,3.132704544658098,3.5960927,74
ALDOC,True,0.2951380463040012,2.683891398782174,1.9659601,535
NMU,True,0.881471824891168,3.1371896754907143,3.6170206,71
LRP2BP,True,0.058624310413197975,2.6988274424790344,2.0304348,488
CTSC,True,0.41343298529971184,2.7659633115234774,2.6745377,196
CCDC34,True,0.1451471443551586,2.4697502175863937,1.0415738,1908
PUS3,True,0.04885436294437897,2.5194908259580653,1.2562897,1437
COMMD9,True,0.08816190512407379,2.468350039368021,1.0355296,1926
CARS,True,0.5572537483983138,2.5516771030911065,1.4319079,1134
SOX6,True,0.556491711646814,2.7358414899826453,2.4998634,254
CD69,True,0.03664554319167725,2.46632250513156,1.0267773,1950
CORO1C,True,0.7193204133584337,2.70223247710427,1.5874827,895
KRT18,True,2.811126888814745,3.3299166941654676,1.5619243,938
WNT5B,True,0.17645187234644916,2.543910412232917,1.3617022,1241
GPN3,True,0.17923695135654868,2.575204933509711,1.4967917,1035
SH2B3,True,0.3553367784376358,2.6152769162091154,1.6697711,820
ALDH2,True,0.19583114534646437,2.5499070296216053,1.3875879,1199
SCNN1A,True,0.04120308505093408,2.5260569697347948,1.284634,1381
ARHGDIB,True,0.041991713128324074,2.685023068023642,1.9708452,532
VDR,True,0.15230298070080442,2.50902952631974,1.2111313,1516
STX2,True,0.24572636688234975,2.4946153420859827,1.1489094,1672
SPSB2,True,0.03366211040955058,2.5068452608858873,1.2017025,1536
LDHB,True,0.38158601459997,2.5686147496045972,1.530128,988
TDP2,True,0.16162823714942617,2.4696062230810596,1.0409522,1910
GCNT2,True,0.3749532625920718,2.4830314325851446,1.0338367,1927
CEP85L,True,0.705016625170373,2.553922822345826,1.4449306,1108
ADTRP,True,0.07933051286501334,2.63889619780468,1.7717288,700
FAM184A,True,0.32144355266874397,2.655147109015255,1.8418792,625
MAN1A1,True,1.4933737420166493,2.933030610497487,1.7687881,703
PPARD,True,0.5325627725680617,2.659632318496945,2.0579321,468
RHAG,True,1.14805605664054,2.9883126457422224,2.4621646,269
BACH2,True,0.405693210410868,3.0252595456398055,4.178177,41
GMNN,True,0.2645291904411816,2.498424399569645,1.165352,1629
EYA4,True,0.17487673055011294,2.4657117337619234,1.0241407,1957
PHF1,True,0.06111741576617559,2.500735669756033,1.1753291,1601
PDE10A,True,0.7508730195797712,2.952441030267245,2.7549717,178
SMOC2,True,0.18432706166849475,2.588014126428713,1.5520853,953
CCND3,True,0.7085438653674077,2.6048672061402747,1.7403533,730
MRPL2,True,0.1247332670044619,2.526249226194205,1.2854638,1379
VEGFA,True,0.1957429563447489,2.603039902449763,1.6169473,865
TBX18,True,0.2617756279080477,2.6454806556511037,1.800152,671
SEMA5A,True,0.22744771537012431,2.932237707453603,3.0380003,126
HMGCS1,True,0.7502597167533078,2.724839707638814,1.6929694,796
APBB3,True,0.04458191087656366,2.463995956077906,1.0167342,1979
PDE4D,True,1.8483121564705969,4.0198032575072,3.7048752,66
