epoch,train_loss_epoch,elbo_train,reconstruction_loss_train,kl_local_train,kl_global_train,validation_loss,elbo_validation,reconstruction_loss_validation,kl_local_validation,kl_global_validation,train_loss_step
27,183.94996643066406,1161.0205078125,367.8602600097656,793.1599731445312,0.0,175.36932373046875,534.982421875,350.7294616699219,184.2529754638672,0.0,163.50595092773438
28,183.8229217529297,1646.723388671875,367.58184814453125,1279.141845703125,0.0,175.18470764160156,579.8377685546875,350.35797119140625,229.4798583984375,0.0,177.1881561279297
29,183.4779815673828,1350.6787109375,366.9068603515625,983.77197265625,0.0,174.77947998046875,511.1532897949219,349.55084228515625,161.60240173339844,0.0,172.31039428710938
30,183.15982055664062,824.4711303710938,366.29681396484375,458.1743469238281,0.0,174.56558227539062,548.1316528320312,349.1211853027344,199.01046752929688,0.0,175.75021362304688
31,183.24032592773438,2408.021240234375,366.3785705566406,2041.6424560546875,0.0,174.3095245361328,643.30078125,348.6043395996094,294.6963806152344,0.0,177.64283752441406
32,182.47483825683594,976.5166015625,364.9190368652344,611.5975341796875,0.0,173.90179443359375,612.5899047851562,347.7903747558594,264.7995910644531,0.0,181.05169677734375
33,182.37387084960938,1474.5933837890625,364.6922607421875,1109.90087890625,0.0,173.7061004638672,553.0384521484375,347.4018859863281,205.63661193847656,0.0,178.94619750976562
34,182.0806121826172,810.334228515625,364.1388854980469,446.19537353515625,0.0,173.57894897460938,523.2368774414062,347.14910888671875,176.08770751953125,0.0,173.28988647460938
35,181.707275390625,726.1124877929688,363.3963928222656,362.7160339355469,0.0,173.259521484375,517.2828369140625,346.510498046875,170.77235412597656,0.0,178.03237915039062
36,181.4336700439453,714.2075805664062,362.8497314453125,351.3578796386719,0.0,173.0197296142578,587.0390014648438,346.0274353027344,241.01153564453125,0.0,186.5626220703125
37,181.37521362304688,959.4119262695312,362.72052001953125,596.6911010742188,0.0,172.900146484375,553.2076416015625,345.7898864746094,207.41775512695312,0.0,191.55337524414062
38,180.9985809326172,758.1834106445312,361.9773254394531,396.2060546875,0.0,172.48690795898438,516.5108032226562,344.9652404785156,171.54562377929688,0.0,193.8903350830078
